Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Military expenditure (current USD),MS.MIL.XPND.CD,"Iran, Islamic Rep.",IRN,16474401698.2345,8327053824.36261,13561272454.2139,14277667360.5682,16493963286.9287,11997186984.0994,9901105170.43987,10588769670.8684,12263957414.6216,13931196489.7975,13194151136.687,..
Military expenditure (current USD),MS.MIL.XPND.CD,Iraq,IRQ,..,..,3752905982.90598,4278632478.63248,4141066053.83435,7780188679.24528,6921269718.79287,9604231010.85097,5970383697.66942,7416385135.13514,6317977150.05254,..
Military expenditure (current USD),MS.MIL.XPND.CD,Ireland,IRL,594006010.402921,694674774.276764,1274228688.35632,1300331547.01086,1157531729.65486,1195763444.3723,1192733691.2242,997005655.983143,1001610418.29936,1025063447.41951,1207582356.62099,..
Military expenditure (current USD),MS.MIL.XPND.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Israel,ISR,7375654517.36926,9407761463.10105,14605298603.6865,16343210461.9046,15567095862.409,17319707976.3835,18485829607.2707,16969432085.8565,14783814747.8017,15581608421.5048,15946788601.4412,..
Military expenditure (current USD),MS.MIL.XPND.CD,Italy,ITA,20734625578.569,19878720932.3752,32020819951.1287,33828804971.12,29781008205.1256,29957445904.5168,27701034334.9422,22180845070.4225,25033027894.6754,26447892915.4274,27807513898.2331,..
Military expenditure (current USD),MS.MIL.XPND.CD,Jamaica,JAM,38609944.5575812,43566232.4912703,115571395.968398,133638559.827692,137635505.668112,128431323.011542,121309728.669942,123854135.722601,137649061.819234,143545555.4269,207772685.795336,..
Military expenditure (current USD),MS.MIL.XPND.CD,Japan,JPN,28800451682.4134,45509673827.3094,54655450735.305,60762213840.8911,60011530194.6974,49023932406.8581,46881244398.3207,42106103305.7928,46471287714.246,45387031801.8653,46617954863.9536,..
Military expenditure (current USD),MS.MIL.XPND.CD,Jordan,JOR,322429005.351719,529337094.499295,1557887323.94366,1594788732.39437,1472816901.40845,1444929577.46479,1548873239.43662,1614929577.46479,1768309859.15493,1939718309.85915,1957746478.87324,..
Military expenditure (current USD),MS.MIL.XPND.CD,Kazakhstan,KAZ,..,143527541.105866,1501815343.89739,1803970781.81161,2177543205.48846,2551124374.70831,2306464574.31135,2046197674.3312,1281103431.97917,1390619095.25397,1613589333.20165,..
